Timestamp,AP MAC,Zone,AP Group,Last Seen,Status (connectionState),Radio Mode (GHz),rssi,snr,Tx Traffic (MB),Rx Traffic (MB),Overall_Traffic
05-11-2023 18:31,80:03:84:19:D8:60,PN International,e39246bd-e182-48ac-b5fd-6850953f839d,1.7072E+12,Connect,2.4 GHz,-60.16666667,22.83333333,37.49083805,332.1028471,369.5936852
05-11-2023 18:31,80:03:84:19:D8:60,PN International,e39246bd-e182-48ac-b5fd-6850953f839d,1.7072E+12,Connect,5 GHz,-78,12,11.79074287,86.00689793,97.7976408
05-11-2023 18:31,80:BC:37:04:E4:A0,Grand Venice Mall,d8a1e2d2-1a9d-46ed-81b0-4068a7b3d56a,1.7072E+12,Connect,2.4 GHz,-72,14,0.010786057,0.583148956,0.593935013
05-11-2023 18:31,80:BC:37:06:CB:40,Grand Venice Mall,d8a1e2d2-1a9d-46ed-81b0-4068a7b3d56a,1.7072E+12,Connect,5 GHz,-75.5,14.5,0.020734787,0.385467529,0.406202316
05-11-2023 18:31,80:BC:37:06:E4:70,Grand Venice Mall,d8a1e2d2-1a9d-46ed-81b0-4068a7b3d56a,1.7072E+12,Connect,5 GHz,-83,8,0.021203041,0.041768074,0.062971115
05-11-2023 18:31,80:BC:37:0B:9C:C0,"Advantage Club Technologies Inc,",8da9e96e-f412-4bdf-aeac-7bf6e85f3252,1.7072E+12,Connect,2.4 GHz,-86,0,0,51.37679768,51.37679768
05-11-2023 18:31,80:BC:37:0B:C4:30,Jain Kanakpura,83d14bd4-ca67-4ab4-b946-42a15693e1dc,1.7072E+12,Connect,5 GHz,-80,9,0.100889206,3.632068634,3.73295784
05-11-2023 18:31,80:BC:37:0B:C5:60,Jain Kanakpura,83d14bd4-ca67-4ab4-b946-42a15693e1dc,1.7072E+12,Connect,2.4 GHz,-63.5,24.5,6.840257645,63.28003216,70.1202898
05-11-2023 18:31,80:BC:37:0B:CA:70,AWP ASSISTANCE (INDIA) PVT LTD,2a03eba7-e589-4c28-9ccc-6b940d48bcca,1.7072E+12,Connect,5 GHz,-51.33333333,38.66666667,397.5177011,2175.36167,2572.879372
05-11-2023 18:31,80:BC:37:0B:CE:B0,Jain Kanakpura,83d14bd4-ca67-4ab4-b946-42a15693e1dc,1.7072E+12,Connect,2.4 GHz,-50,37,0.269162178,569.4032011,569.6723633
05-11-2023 18:31,80:BC:37:0B:CE:B0,Jain Kanakpura,83d14bd4-ca67-4ab4-b946-42a15693e1dc,1.7072E+12,Connect,5 GHz,-68,22,3.981147766,130.4899483,134.471096
05-11-2023 18:31,80:BC:37:0B:F0:10,Jain Kanakpura,83d14bd4-ca67-4ab4-b946-42a15693e1dc,1.7072E+12,Connect,5 GHz,-69,22,27.47832203,668.4613609,695.939683
05-11-2023 18:31,80:BC:37:0B:F3:30,Jain Kanakpura,83d14bd4-ca67-4ab4-b946-42a15693e1dc,1.7072E+12,Connect,2.4 GHz,-52,35,0.036930084,57.50791168,57.54484177
05-11-2023 18:31,80:BC:37:0C:04:10,"Advantage Club Technologies Inc,",8da9e96e-f412-4bdf-aeac-7bf6e85f3252,1.7072E+12,Connect,2.4 GHz,-62.5,24.5,12.67335796,31.03824234,43.7116003
05-11-2023 18:31,80:BC:37:0C:04:10,"Advantage Club Technologies Inc,",8da9e96e-f412-4bdf-aeac-7bf6e85f3252,1.7072E+12,Connect,5 GHz,-55,32,73.79299831,230.9596205,304.7526188
05-11-2023 18:31,80:BC:37:0C:07:A0,"Advantage Club Technologies Inc,",8da9e96e-f412-4bdf-aeac-7bf6e85f3252,1.7072E+12,Connect,2.4 GHz,-80,6,0,118.4563351,118.4563351
05-11-2023 18:31,80:BC:37:0C:07:A0,"Advantage Club Technologies Inc,",8da9e96e-f412-4bdf-aeac-7bf6e85f3252,1.7072E+12,Connect,5 GHz,-46,44,11.29143524,26.66972828,37.96116352
05-11-2023 18:31,80:BC:37:0C:22:F0,"Advantage Club Technologies Inc,",8da9e96e-f412-4bdf-aeac-7bf6e85f3252,1.7072E+12,Connect,2.4 GHz,-79,2,0,0.895799637,0.895799637
05-11-2023 18:31,80:BC:37:0C:22:F0,"Advantage Club Technologies Inc,",8da9e96e-f412-4bdf-aeac-7bf6e85f3252,1.7072E+12,Connect,5 GHz,-79,10,2.810529709,214.9200096,217.7305393
05-11-2023 18:31,80:BC:37:0C:32:B0,"Advantage Club Technologies Inc,",8da9e96e-f412-4bdf-aeac-7bf6e85f3252,1.7072E+12,Connect,2.4 GHz,-77.66666667,5.333333333,0.002963066,1119.906928,1119.909891
05-11-2023 18:31,80:BC:37:0C:32:B0,"Advantage Club Technologies Inc,",8da9e96e-f412-4bdf-aeac-7bf6e85f3252,1.7072E+12,Connect,5 GHz,-57.33333333,31.66666667,90.77984715,1268.932908,1359.712755
05-11-2023 18:31,80:BC:37:0C:3C:90,NSE BKC,df4aacb2-7862-4e10-bc86-98d1e1a68d0f,1.7072E+12,Connect,2.4 GHz,-46,42,0.002569199,0.612708092,0.61527729
05-11-2023 18:31,80:BC:37:0C:3C:90,NSE BKC,df4aacb2-7862-4e10-bc86-98d1e1a68d0f,1.7072E+12,Connect,5 GHz,-63.33333333,27.66666667,0.753050804,4.681438446,5.43448925
05-11-2023 18:31,80:BC:37:0C:42:70,NSE BKC,df4aacb2-7862-4e10-bc86-98d1e1a68d0f,1.7072E+12,Connect,2.4 GHz,-59.33333333,27.66666667,41.67413998,425.7476778,467.4218178
05-11-2023 18:31,80:BC:37:0C:42:70,NSE BKC,df4aacb2-7862-4e10-bc86-98d1e1a68d0f,1.7072E+12,Connect,5 GHz,-71,20,200.465004,1687.138309,1887.603313
05-11-2023 18:31,80:BC:37:0C:42:B0,NSE BKC,df4aacb2-7862-4e10-bc86-98d1e1a68d0f,1.7072E+12,Connect,5 GHz,-55,37,2.306295395,15.2896595,17.5959549
05-11-2023 18:31,80:BC:37:0C:47:E0,"Advantage Club Technologies Inc,",8da9e96e-f412-4bdf-aeac-7bf6e85f3252,1.7072E+12,Connect,5 GHz,-61,27,0.29784584,8.821936607,9.119782448
05-11-2023 18:31,80:BC:37:0C:4B:80,Jain Kanakpura,83d14bd4-ca67-4ab4-b946-42a15693e1dc,1.7072E+12,Connect,2.4 GHz,-57,32,0.056190491,1.654838562,1.711029053
05-11-2023 18:31,80:BC:37:0C:4D:B0,NSE BKC,df4aacb2-7862-4e10-bc86-98d1e1a68d0f,1.7072E+12,Connect,2.4 GHz,-74,14,17.02041912,62.22244072,79.24285984
05-11-2023 18:31,80:BC:37:0C:51:30,"Advantage Club Technologies Inc,",8da9e96e-f412-4bdf-aeac-7bf6e85f3252,1.7072E+12,Connect,5 GHz,-68.25,20.75,59.49754715,1836.892824,1896.390371
05-11-2023 18:31,80:BC:37:0C:52:B0,NSE BKC,df4aacb2-7862-4e10-bc86-98d1e1a68d0f,1.7072E+12,Connect,2.4 GHz,-84,8,0.13684082,1.214427948,1.351268768
05-11-2023 18:31,80:BC:37:0C:56:A0,NSE BKC,df4aacb2-7862-4e10-bc86-98d1e1a68d0f,1.7072E+12,Connect,5 GHz,-66,27,94.65842056,690.3242521,784.9826727
05-11-2023 18:31,80:BC:37:0C:CE:80,"Advantage Club Technologies Inc,",8da9e96e-f412-4bdf-aeac-7bf6e85f3252,1.7072E+12,Connect,2.4 GHz,-81,4,0.00290966,146.9524755,146.9553852
05-11-2023 18:31,80:BC:37:0C:CE:80,"Advantage Club Technologies Inc,",8da9e96e-f412-4bdf-aeac-7bf6e85f3252,1.7072E+12,Connect,5 GHz,-51,39,81.49749565,146.0682135,227.5657091
05-11-2023 18:31,80:BC:37:0C:D0:20,GENPACT,aa878c85-a6ad-44ea-9a28-0ac71a1b6696,1.70271E+12,Disconnect,2.4 GHz,-42,47,0,0,0
05-11-2023 18:31,80:BC:37:0C:D7:10,Jain Kanakpura,83d14bd4-ca67-4ab4-b946-42a15693e1dc,1.7072E+12,Connect,2.4 GHz,-73,15,3.396159172,68.1838026,71.57996178
05-11-2023 18:31,80:BC:37:0C:DD:30,NSE BKC,df4aacb2-7862-4e10-bc86-98d1e1a68d0f,1.7072E+12,Connect,2.4 GHz,-69,25,0.023939133,40.98165512,41.00559425
05-11-2023 18:31,80:BC:37:0C:EF:B0,Jain Kanakpura,83d14bd4-ca67-4ab4-b946-42a15693e1dc,1.7072E+12,Connect,2.4 GHz,-70,18,0.099349022,7.913469315,8.012818336
05-11-2023 18:31,80:BC:37:0C:EF:F0,Jain Kanakpura,83d14bd4-ca67-4ab4-b946-42a15693e1dc,1.7072E+12,Connect,2.4 GHz,-71,18,0.178030014,31.32444382,31.50247383
05-11-2023 18:37,80:03:84:19:D8:60,PN International,e39246bd-e182-48ac-b5fd-6850953f839d,1.7072E+12,Connect,2.4 GHz,-60.33333333,22.66666667,37.53749943,332.1312065,369.6687059
05-11-2023 18:37,80:03:84:19:D8:60,PN International,e39246bd-e182-48ac-b5fd-6850953f839d,1.7072E+12,Connect,5 GHz,-77.83333333,12.16666667,11.83464241,86.11852074,97.95316315
05-11-2023 18:37,80:BC:37:04:E4:A0,Grand Venice Mall,d8a1e2d2-1a9d-46ed-81b0-4068a7b3d56a,1.7072E+12,Connect,2.4 GHz,-71,15,0.010839462,0.654801369,0.665640831
05-11-2023 18:37,80:BC:37:04:E8:40,Grand Venice Mall,d8a1e2d2-1a9d-46ed-81b0-4068a7b3d56a,1.7072E+12,Connect,5 GHz,-48.66666667,12,0.016925812,0.030483246,0.047409058
05-11-2023 18:37,80:BC:37:04:E9:10,Grand Venice Mall,d8a1e2d2-1a9d-46ed-81b0-4068a7b3d56a,1.7072E+12,Connect,5 GHz,0,0,0,0,0
05-11-2023 18:37,80:BC:37:06:CB:40,Grand Venice Mall,d8a1e2d2-1a9d-46ed-81b0-4068a7b3d56a,1.7072E+12,Connect,5 GHz,-72.5,17.5,0.022125244,0.073041916,0.09516716
05-11-2023 18:37,80:BC:37:0B:7D:F0,NSE BKC,df4aacb2-7862-4e10-bc86-98d1e1a68d0f,1.7072E+12,Connect,2.4 GHz,-71,16,0.410562515,3.374362946,3.784925461
05-11-2023 18:37,80:BC:37:0B:7D:F0,NSE BKC,df4aacb2-7862-4e10-bc86-98d1e1a68d0f,1.7072E+12,Connect,5 GHz,-29.5,16,0.00262928,0.172272682,0.174901962
05-11-2023 18:37,80:BC:37:0B:9C:C0,"Advantage Club Technologies Inc,",8da9e96e-f412-4bdf-aeac-7bf6e85f3252,1.7072E+12,Connect,2.4 GHz,-86,0,0,51.57329655,51.57329655
05-11-2023 18:37,80:BC:37:0B:AD:10,NSE BKC,df4aacb2-7862-4e10-bc86-98d1e1a68d0f,1.7072E+12,Connect,5 GHz,-51,38,0.028290749,0.277659416,0.305950165
05-11-2023 18:37,80:BC:37:0B:C4:30,Jain Kanakpura,83d14bd4-ca67-4ab4-b946-42a15693e1dc,1.7072E+12,Connect,5 GHz,-78,11,0.714298248,10.69438362,11.40868187
05-11-2023 18:37,80:BC:37:0B:C5:60,Jain Kanakpura,83d14bd4-ca67-4ab4-b946-42a15693e1dc,1.7072E+12,Connect,2.4 GHz,-70,18,4.873064995,47.72656345,52.59962845
05-11-2023 18:37,80:BC:37:0B:CA:70,AWP ASSISTANCE (INDIA) PVT LTD,2a03eba7-e589-4c28-9ccc-6b940d48bcca,1.7072E+12,Connect,5 GHz,-50.33333333,39.66666667,397.7679586,2175.807331,2573.57529
05-11-2023 18:37,80:BC:37:0B:CE:B0,Jain Kanakpura,83d14bd4-ca67-4ab4-b946-42a15693e1dc,1.7072E+12,Connect,2.4 GHz,-50,37,0.272428513,589.0143995,589.286828
05-11-2023 18:37,80:BC:37:0B:CE:B0,Jain Kanakpura,83d14bd4-ca67-4ab4-b946-42a15693e1dc,1.7072E+12,Connect,5 GHz,-67,23,4.138077736,156.7487478,160.8868256
05-11-2023 18:37,80:BC:37:0B:F0:10,Jain Kanakpura,83d14bd4-ca67-4ab4-b946-42a15693e1dc,1.7072E+12,Connect,5 GHz,-69,22,27.75447464,688.8871412,716.6416159
05-11-2023 18:37,80:BC:37:0B:F3:30,Jain Kanakpura,83d14bd4-ca67-4ab4-b946-42a15693e1dc,1.7072E+12,Connect,2.4 GHz,-52,35,0.066737175,77.38749981,77.45423698
05-11-2023 18:37,80:BC:37:0C:04:10,"Advantage Club Technologies Inc,",8da9e96e-f412-4bdf-aeac-7bf6e85f3252,1.7072E+12,Connect,2.4 GHz,-69.5,17.5,13.36036777,72.34196758,85.70233536
05-11-2023 18:37,80:BC:37:0C:04:10,"Advantage Club Technologies Inc,",8da9e96e-f412-4bdf-aeac-7bf6e85f3252,1.7072E+12,Connect,5 GHz,-55,32,73.79360199,230.961607,304.755209
05-11-2023 18:37,80:BC:37:0C:07:A0,"Advantage Club Technologies Inc,",8da9e96e-f412-4bdf-aeac-7bf6e85f3252,1.7072E+12,Connect,2.4 GHz,-80,6,0,118.4660482,118.4660482
05-11-2023 18:37,80:BC:37:0C:07:A0,"Advantage Club Technologies Inc,",8da9e96e-f412-4bdf-aeac-7bf6e85f3252,1.7072E+12,Connect,5 GHz,-45,45,11.29853821,26.8663826,38.16492081
05-11-2023 18:37,80:BC:37:0C:22:F0,"Advantage Club Technologies Inc,",8da9e96e-f412-4bdf-aeac-7bf6e85f3252,1.7072E+12,Connect,2.4 GHz,-79,2,0,0.895799637,0.895799637
05-11-2023 18:37,80:BC:37:0C:22:F0,"Advantage Club Technologies Inc,",8da9e96e-f412-4bdf-aeac-7bf6e85f3252,1.7072E+12,Connect,5 GHz,-80,9,2.876616478,228.7451534,231.6217699
05-11-2023 18:37,80:BC:37:0C:27:70,Jain Kanakpura,83d14bd4-ca67-4ab4-b946-42a15693e1dc,1.7072E+12,Connect,5 GHz,0,0,0,0,0
05-11-2023 18:37,80:BC:37:0C:32:B0,"Advantage Club Technologies Inc,",8da9e96e-f412-4bdf-aeac-7bf6e85f3252,1.7072E+12,Connect,2.4 GHz,-78.5,4.5,0,1119.899368,1119.899368
05-11-2023 18:37,80:BC:37:0C:32:B0,"Advantage Club Technologies Inc,",8da9e96e-f412-4bdf-aeac-7bf6e85f3252,1.7072E+12,Connect,5 GHz,-51.5,37.5,79.39917946,499.0793047,578.4784842
05-11-2023 18:37,80:BC:37:0C:3C:90,NSE BKC,df4aacb2-7862-4e10-bc86-98d1e1a68d0f,1.7072E+12,Connect,5 GHz,-61,30,0.816466331,4.779452324,5.595918655
05-11-2023 18:37,80:BC:37:0C:42:70,NSE BKC,df4aacb2-7862-4e10-bc86-98d1e1a68d0f,1.7072E+12,Connect,2.4 GHz,-67.66666667,19.33333333,25.7583828,224.0628929,249.8212757
05-11-2023 18:37,80:BC:37:0C:42:70,NSE BKC,df4aacb2-7862-4e10-bc86-98d1e1a68d0f,1.7072E+12,Connect,5 GHz,-71,20,212.1748848,2022.473182,2234.648067
05-11-2023 18:37,80:BC:37:0C:42:B0,NSE BKC,df4aacb2-7862-4e10-bc86-98d1e1a68d0f,1.7072E+12,Connect,5 GHz,-56,36,4.927661896,23.82784081,28.7555027
05-11-2023 18:37,80:BC:37:0C:47:E0,"Advantage Club Technologies Inc,",8da9e96e-f412-4bdf-aeac-7bf6e85f3252,1.7072E+12,Connect,5 GHz,-61,27,0.298363686,8.998643875,9.297007561
05-11-2023 18:37,80:BC:37:0C:4B:80,Jain Kanakpura,83d14bd4-ca67-4ab4-b946-42a15693e1dc,1.7072E+12,Connect,2.4 GHz,-58.5,30,0.42828083,10.52333546,10.95161629
05-11-2023 18:37,80:BC:37:0C:4D:B0,NSE BKC,df4aacb2-7862-4e10-bc86-98d1e1a68d0f,1.7072E+12,Connect,2.4 GHz,-75,13,17.14304543,62.67213249,79.81517792
05-11-2023 18:37,80:BC:37:0C:51:30,"Advantage Club Technologies Inc,",8da9e96e-f412-4bdf-aeac-7bf6e85f3252,1.7072E+12,Connect,5 GHz,-67.75,21.25,60.14479065,1838.036948,1898.181739
05-11-2023 18:37,80:BC:37:0C:52:B0,NSE BKC,df4aacb2-7862-4e10-bc86-98d1e1a68d0f,1.7072E+12,Connect,5 GHz,0,0,0,0,0
05-11-2023 18:37,80:BC:37:0C:56:A0,NSE BKC,df4aacb2-7862-4e10-bc86-98d1e1a68d0f,1.7072E+12,Connect,5 GHz,-66,27,94.65842056,690.6911249,785.3495455
05-11-2023 18:37,80:BC:37:0C:CE:80,"Advantage Club Technologies Inc,",8da9e96e-f412-4bdf-aeac-7bf6e85f3252,1.7072E+12,Connect,2.4 GHz,-81,4,0.00290966,146.953764,146.9566736
05-11-2023 18:37,80:BC:37:0C:CE:80,"Advantage Club Technologies Inc,",8da9e96e-f412-4bdf-aeac-7bf6e85f3252,1.7072E+12,Connect,5 GHz,-47.5,42.5,84.86083126,302.6053696,387.4662008
05-11-2023 18:37,80:BC:37:0C:DD:30,NSE BKC,df4aacb2-7862-4e10-bc86-98d1e1a68d0f,1.7072E+12,Connect,2.4 GHz,-69,25,0.023939133,41.35006618,41.37400532
05-11-2023 18:37,80:BC:37:0C:E3:20,Jain Kanakpura,83d14bd4-ca67-4ab4-b946-42a15693e1dc,1.7072E+12,Connect,2.4 GHz,-72,15,0.510872841,5.689854622,6.200727463
05-11-2023 18:37,80:BC:37:0C:E4:F0,Jain Kanakpura,83d14bd4-ca67-4ab4-b946-42a15693e1dc,1.7072E+12,Connect,5 GHz,-94,5,0,0,0
05-11-2023 18:37,80:BC:37:0C:EF:B0,Jain Kanakpura,83d14bd4-ca67-4ab4-b946-42a15693e1dc,1.7072E+12,Connect,2.4 GHz,-74.5,13.5,0.10761261,6.106535912,6.214148521
05-11-2023 18:43,80:03:84:19:D8:60,PN International,e39246bd-e182-48ac-b5fd-6850953f839d,1.7072E+12,Connect,2.4 GHz,-59.66666667,23.33333333,37.62597179,332.1962299,369.8222017
05-11-2023 18:43,80:03:84:19:D8:60,PN International,e39246bd-e182-48ac-b5fd-6850953f839d,1.7072E+12,Connect,5 GHz,-78.33333333,11.66666667,11.98230362,86.32963181,98.31193542
05-11-2023 18:43,80:BC:37:04:E4:A0,Grand Venice Mall,d8a1e2d2-1a9d-46ed-81b0-4068a7b3d56a,1.7072E+12,Connect,2.4 GHz,-67,19,0.011522293,0.684920311,0.696442604
05-11-2023 18:43,80:BC:37:04:E8:40,Grand Venice Mall,d8a1e2d2-1a9d-46ed-81b0-4068a7b3d56a,1.7072E+12,Connect,5 GHz,-35,10.5,0.006523132,0.058373451,0.064896584
05-11-2023 18:43,80:BC:37:04:E9:10,Grand Venice Mall,d8a1e2d2-1a9d-46ed-81b0-4068a7b3d56a,1.7072E+12,Connect,5 GHz,-75,15,0.010730743,0.065831184,0.076561928
05-11-2023 18:43,80:BC:37:06:CB:40,Grand Venice Mall,d8a1e2d2-1a9d-46ed-81b0-4068a7b3d56a,1.7072E+12,Connect,5 GHz,-74,16,0.008190155,0.05921936,0.067409515
05-11-2023 18:43,80:BC:37:0B:7D:F0,NSE BKC,df4aacb2-7862-4e10-bc86-98d1e1a68d0f,1.7072E+12,Connect,5 GHz,0,0,0,0,0
05-11-2023 18:43,80:BC:37:0B:9C:C0,"Advantage Club Technologies Inc,",8da9e96e-f412-4bdf-aeac-7bf6e85f3252,1.7072E+12,Connect,2.4 GHz,-86,0,0,51.7663641,51.7663641
05-11-2023 18:43,80:BC:37:0B:AB:E0,NSE BKC,df4aacb2-7862-4e10-bc86-98d1e1a68d0f,1.7072E+12,Connect,2.4 GHz,-69,19,0.584544182,10.96757412,11.5521183
05-11-2023 18:43,80:BC:37:0B:C4:30,Jain Kanakpura,83d14bd4-ca67-4ab4-b946-42a15693e1dc,1.7072E+12,Connect,5 GHz,-80,9,0.782158852,12.08581161,12.86797047
05-11-2023 18:43,80:BC:37:0B:C5:60,Jain Kanakpura,83d14bd4-ca67-4ab4-b946-42a15693e1dc,1.7072E+12,Connect,2.4 GHz,-67,21,5.190099716,50.53681374,55.72691345
05-11-2023 18:43,80:BC:37:0B:CA:70,AWP ASSISTANCE (INDIA) PVT LTD,2a03eba7-e589-4c28-9ccc-6b940d48bcca,1.7072E+12,Connect,5 GHz,-49.83333333,40.16666667,397.9723215,2176.097104,2574.069426
05-11-2023 18:43,80:BC:37:0B:CE:B0,Jain Kanakpura,83d14bd4-ca67-4ab4-b946-42a15693e1dc,1.7072E+12,Connect,2.4 GHz,-49,38,0.274161339,608.7398071,609.0139685
05-11-2023 18:43,80:BC:37:0B:F0:10,Jain Kanakpura,83d14bd4-ca67-4ab4-b946-42a15693e1dc,1.7072E+12,Connect,5 GHz,-69,22,27.91333389,709.1346722,737.0480061
05-11-2023 18:43,80:BC:37:0B:F3:30,Jain Kanakpura,83d14bd4-ca67-4ab4-b946-42a15693e1dc,1.7072E+12,Connect,2.4 GHz,-63,24,0.128336906,97.27399921,97.40233612
05-11-2023 18:43,80:BC:37:0C:04:10,"Advantage Club Technologies Inc,",8da9e96e-f412-4bdf-aeac-7bf6e85f3252,1.7072E+12,Connect,2.4 GHz,-71.5,15.5,13.44856358,72.66751099,86.11607456
05-11-2023 18:43,80:BC:37:0C:04:10,"Advantage Club Technologies Inc,",8da9e96e-f412-4bdf-aeac-7bf6e85f3252,1.7072E+12,Connect,5 GHz,-55,32,73.79543686,230.9679651,304.763402
05-11-2023 18:43,80:BC:37:0C:07:A0,"Advantage Club Technologies Inc,",8da9e96e-f412-4bdf-aeac-7bf6e85f3252,1.7072E+12,Connect,2.4 GHz,-80,6,0,118.4799671,118.4799671
05-11-2023 18:43,80:BC:37:0C:07:A0,"Advantage Club Technologies Inc,",8da9e96e-f412-4bdf-aeac-7bf6e85f3252,1.7072E+12,Connect,5 GHz,-46,44,11.31108856,27.05930996,38.37039852
05-11-2023 18:43,80:BC:37:0C:22:F0,"Advantage Club Technologies Inc,",8da9e96e-f412-4bdf-aeac-7bf6e85f3252,1.7072E+12,Connect,2.4 GHz,-79,2,0,0.895799637,0.895799637
05-11-2023 18:43,80:BC:37:0C:22:F0,"Advantage Club Technologies Inc,",8da9e96e-f412-4bdf-aeac-7bf6e85f3252,1.7072E+12,Connect,5 GHz,-76,13,3.255026817,235.5731955,238.8282223
05-11-2023 18:43,80:BC:37:0C:32:B0,"Advantage Club Technologies Inc,",8da9e96e-f412-4bdf-aeac-7bf6e85f3252,1.7072E+12,Connect,2.4 GHz,-78.5,4.5,0,1119.904429,1119.904429
05-11-2023 18:43,80:BC:37:0C:32:B0,"Advantage Club Technologies Inc,",8da9e96e-f412-4bdf-aeac-7bf6e85f3252,1.7072E+12,Connect,5 GHz,-53.5,35.5,80.64451599,501.4630299,582.1075459
05-11-2023 18:43,80:BC:37:0C:3C:90,NSE BKC,df4aacb2-7862-4e10-bc86-98d1e1a68d0f,1.7072E+12,Connect,5 GHz,-64,27,4.053510666,70.7542057,74.80771637
